animal,age,temperature,symptom 1,symptom 2,symptom 3,disease
goat,6,39.1,depression,nasal discharge,salivation,pasteurellosis
cow,15,104.3,loss of appetite,painless lumps,depression,lumpy skin disease
cow,5,100.1,swelling in muscle,lameness,loss of appetite,blackleg
goat,3,102.5,loss of appetite,painless lumps,depression,lumpy skin disease
goat,9,100.6,crackling sound,depression,loss of appetite,blackleg
cow,3,102.0,painless lumps,depression,loss of appetite,lumpy skin disease
cow,14,102.6,painless lumps,depression,loss of appetite,lumpy skin disease
buffalo,5,101.5,lameness,loss of appetite,blisters on gums,foot and mouth
cow,5,38.6,difficulty breathing,fatigue,depression,pasteurellosis
buffalo,9,40.9,swelling in neck,nasal discharge,weakness,pasteurellosis
goat,7,103.4,crackling sound,swelling in limb,difficulty walking,blackleg
sheep,1,103.6,painless lumps,loss of appetite,depression,lumpy skin disease
goat,3,101.7,lameness,sores on gums,loss of appetite,foot and mouth
buffalo,7,102.1,depression,swelling in limb,crackling sound,blackleg
buffalo,5,100.1,coughing,depression,loss of appetite,pneumonia
buffalo,1,101.6,loss of appetite,painless lumps,depression,lumpy skin disease
sheep,9,104.1,difficulty walking,loss of appetite,sores on gums,foot and mouth
buffalo,1,101.0,depression,crackling sound,difficulty walking,blackleg
goat,3,104.2,loss of appetite,depression,difficult breathing,pneumonia
sheep,4,101.9,crackling sound,difficulty walking,depression,blackleg
goat,5,102.3,crackling sound,loss of appetite,difficulty walking,blackleg
cow,3,101.2,lameness,depression,crackling sound,blackleg
cow,6,39.3,salivation,depression,difficulty breathing,pasteurellosis
goat,1,101.0,blisters on gums,difficulty walking,loss of appetite,foot and mouth
goat,2,100.6,lameness,loss of appetite,crackling sound,blackleg
buffalo,4,38.6,weakness,sudden death,bloated abdomen,enterotoxemia
sheep,5,101.8,depression,painless lumps,loss of appetite,lumpy skin disease
cow,2,101.8,depression,loss of appetite,painless lumps,lumpy skin disease
sheep,5,103.7,sores on mouth,lameness,loss of appetite,foot and mouth
buffalo,12,101.6,coughing,loss of appetite,depression,pneumonia
cow,1,103.0,depression,loss of appetite,difficulty walking,blackleg
goat,6,102.1,painless lumps,loss of appetite,depression,lumpy skin disease
sheep,1,102.3,swelling in muscle,depression,crackling sound,blackleg
cow,14,101.5,lameness,blisters on hooves,loss of appetite,foot and mouth
sheep,9,100.6,loss of appetite,coughing,depression,pneumonia
sheep,2,101.7,sores on hooves,difficulty walking,loss of appetite,foot and mouth
cow,4,103.6,difficult breathing,loss of appetite,depression,pneumonia
cow,2,104.1,depression,painless lumps,loss of appetite,lumpy skin disease
goat,9,37.0,nasal discharge,loss of appetite,depression,pasteurellosis
buffalo,12,101.1,lameness,blisters on tongue,loss of appetite,foot and mouth
cow,8,39.1,weakness,nasal discharge,fatigue,pasteurellosis
cow,12,102.4,crackling sound,loss of appetite,depression,blackleg
sheep,7,103.6,sores on tongue,lameness,loss of appetite,foot and mouth
cow,11,105.0,difficulty walking,crackling sound,loss of appetite,blackleg
goat,6,39.1,depression,reduced milk production,coughing,pneumonia
goat,5,100.7,sores on mouth,loss of appetite,difficulty walking,foot and mouth
cow,10,100.3,swelling in muscle,depression,crackling sound,blackleg
goat,10,104.8,loss of appetite,difficulty walking,blisters on gums,foot and mouth
sheep,5,41.5,fatigue,high fever,nasal discharge,pasteurellosis
buffalo,1,39.1,swelling in neck,fatigue,nasal discharge,pasteurellosis
goat,8,38.1,weakness,difficulty breathing,coughing,pasteurellosis
cow,8,101.4,nasal discharge,loss of appetite,depression,pneumonia
buffalo,2,102.5,loss of appetite,crackling sound,swelling in limb,blackleg
goat,2,37.4,loss of appetite,swelling in neck,coughing,pasteurellosis
goat,9,41.5,difficulty breathing,swelling in neck,coughing,pasteurellosis
cow,5,101.6,difficult breathing,loss of appetite,depression,pneumonia
buffalo,2,103.5,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
cow,15,103.5,difficulty walking,blisters on gums,loss of appetite,foot and mouth
sheep,6,104.8,difficulty walking,sores on hooves,loss of appetite,foot and mouth
buffalo,8,37.1,bloated abdomen,depression,diarrhea,enterotoxemia
buffalo,7,102.2,lameness,sores on tongue,loss of appetite,foot and mouth
sheep,4,39.3,high fever,coughing,nasal discharge,pasteurellosis
buffalo,5,102.6,blisters on mouth,lameness,loss of appetite,foot and mouth
sheep,6,100.2,loss of appetite,painless lumps,depression,lumpy skin disease
buffalo,10,40.9,coughing,salivation,weakness,pasteurellosis
buffalo,4,40.9,loss of appetite,nasal discharge,weakness,pasteurellosis
goat,6,105.0,crackling sound,lameness,depression,blackleg
sheep,5,103.0,difficulty walking,loss of appetite,blisters on tongue,foot and mouth
goat,6,100.1,loss of appetite,depression,painless lumps,lumpy skin disease
cow,4,102.1,loss of appetite,difficulty walking,blisters on hooves,foot and mouth
cow,9,102.8,nasal discharge,loss of appetite,depression,pneumonia
buffalo,2,37.4,salivation,nasal discharge,high fever,pasteurellosis
cow,10,101.8,depression,painless lumps,loss of appetite,lumpy skin disease
sheep,6,102.4,coughing,depression,loss of appetite,pneumonia
buffalo,3,100.1,sores on gums,lameness,loss of appetite,foot and mouth
buffalo,15,103.1,lameness,blisters on gums,loss of appetite,foot and mouth
sheep,5,38.6,salivation,fatigue,depression,pasteurellosis
sheep,8,37.4,loss of appetite,nasal discharge,fatigue,pasteurellosis
cow,9,40.1,high fever,difficulty breathing,nasal discharge,pasteurellosis
buffalo,3,39.9,fatigue,depression,high fever,pasteurellosis
buffalo,10,101.2,depression,loss of appetite,difficult breathing,pneumonia
cow,4,101.0,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
goat,3,103.2,depression,difficult breathing,loss of appetite,pneumonia
buffalo,3,104.2,depression,coughing,loss of appetite,pneumonia
goat,3,101.9,difficulty walking,loss of appetite,blisters on mouth,foot and mouth
goat,6,104.2,crackling sound,lameness,loss of appetite,blackleg
sheep,2,101.1,crackling sound,swelling in muscle,difficulty walking,blackleg
cow,8,103.6,painless lumps,loss of appetite,depression,lumpy skin disease
buffalo,9,102.8,painless lumps,depression,loss of appetite,lumpy skin disease
sheep,7,102.7,blisters on hooves,lameness,loss of appetite,foot and mouth
buffalo,10,104.7,painless lumps,depression,loss of appetite,lumpy skin disease
buffalo,9,100.6,depression,difficult breathing,loss of appetite,pneumonia
goat,9,102.4,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
goat,5,100.9,sores on mouth,difficulty walking,loss of appetite,foot and mouth
cow,1,103.2,loss of appetite,depression,nasal discharge,pneumonia
cow,15,101.3,lameness,blisters on hooves,loss of appetite,foot and mouth
buffalo,8,39.3,weakness,reduced milk yield,lameness,brucellosis
goat,3,100.3,depression,crackling sound,swelling in limb,blackleg
buffalo,12,100.8,crackling sound,depression,loss of appetite,blackleg
buffalo,1,102.1,crackling sound,lameness,swelling in muscle,blackleg
goat,10,104.4,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
buffalo,12,101.2,depression,coughing,loss of appetite,pneumonia
goat,6,103.3,loss of appetite,sores on mouth,lameness,foot and mouth
goat,1,101.7,nasal discharge,depression,loss of appetite,pneumonia
goat,3,101.9,crackling sound,lameness,loss of appetite,blackleg
buffalo,5,103.6,lameness,loss of appetite,sores on mouth,foot and mouth
buffalo,8,104.8,crackling sound,depression,loss of appetite,blackleg
sheep,8,39.1,fatigue,weakness,swelling in neck,pasteurellosis
goat,2,101.6,coughing,loss of appetite,depression,pneumonia
goat,5,101.2,lameness,loss of appetite,sores on tongue,foot and mouth
cow,2,100.2,depression,loss of appetite,painless lumps,lumpy skin disease
cow,7,37.5,swelling in muscles,loss of appetite,lameness,blackleg
buffalo,8,102.7,nasal discharge,loss of appetite,depression,pneumonia
cow,3,102.8,loss of appetite,coughing,depression,pneumonia
goat,10,102.3,lameness,loss of appetite,sores on tongue,foot and mouth
cow,10,103.8,depression,difficult breathing,loss of appetite,pneumonia
goat,4,40.7,weakness,lameness,weight loss,brucellosis
buffalo,12,100.2,sores on hooves,lameness,loss of appetite,foot and mouth
goat,4,101.0,loss of appetite,blisters on tongue,difficulty walking,foot and mouth
goat,10,37.2,coughing,fatigue,loss of appetite,pasteurellosis
goat,9,104.3,loss of appetite,depression,coughing,pneumonia
goat,5,104.9,lameness,loss of appetite,sores on tongue,foot and mouth
cow,6,104.1,loss of appetite,coughing,depression,pneumonia
buffalo,14,100.5,loss of appetite,depression,coughing,pneumonia
sheep,10,103.5,loss of appetite,depression,difficult breathing,pneumonia
sheep,7,38.2,swelling in muscles,loss of appetite,crepitation under skin,blackleg
cow,14,104.8,difficulty walking,depression,swelling in muscle,blackleg
buffalo,4,39.1,loss of appetite,weakness,difficulty breathing,pasteurellosis
buffalo,8,103.8,crackling sound,loss of appetite,depression,blackleg
cow,10,38.6,loss of appetite,fatigue,depression,pneumonia
cow,1,101.6,painless lumps,depression,loss of appetite,lumpy skin disease
cow,2,103.6,swelling in limb,crackling sound,loss of appetite,blackleg
sheep,5,101.2,depression,loss of appetite,painless lumps,lumpy skin disease
goat,1,38.5,nasal discharge,weakness,depression,pasteurellosis
goat,6,104.5,loss of appetite,sores on hooves,difficulty walking,foot and mouth
cow,3,101.7,swelling in muscle,depression,lameness,blackleg
sheep,6,102.2,painless lumps,depression,loss of appetite,lumpy skin disease
buffalo,10,37.4,depression,weakness,nasal discharge,pasteurellosis
cow,13,103.1,depression,crackling sound,swelling in limb,blackleg
buffalo,13,102.2,depression,difficult breathing,loss of appetite,pneumonia
cow,10,101.9,loss of appetite,swelling in limb,difficulty walking,blackleg
goat,5,37.0,weakness,difficulty breathing,loss of appetite,pasteurellosis
cow,10,37.6,abortion,depression,swollen joints,brucellosis
sheep,6,102.1,loss of appetite,difficulty walking,sores on hooves,foot and mouth
buffalo,13,102.8,blisters on tongue,loss of appetite,lameness,foot and mouth
sheep,6,101.6,depression,difficulty walking,swelling in muscle,blackleg
goat,3,39.2,fever,rapid breathing,nasal discharge,pneumonia
cow,3,39.3,depression,difficulty breathing,weakness,pasteurellosis
cow,12,102.0,loss of appetite,difficulty walking,crackling sound,blackleg
goat,9,101.5,sores on tongue,loss of appetite,difficulty walking,foot and mouth
goat,3,103.1,loss of appetite,depression,coughing,pneumonia
buffalo,2,39.1,milk clots,reduced milk yield,painful udder,mastitis
sheep,2,38.9,weight loss,loss of appetite,anemia,parasite infestation
goat,6,102.7,nasal discharge,loss of appetite,depression,pneumonia
cow,8,101.0,loss of appetite,depression,nasal discharge,pneumonia
sheep,7,39.3,swelling in neck,difficulty breathing,fatigue,pasteurellosis
sheep,5,104.1,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
buffalo,3,38.2,loss of appetite,bloated abdomen,sudden death,enterotoxemia
sheep,9,103.5,painless lumps,depression,loss of appetite,lumpy skin disease
cow,1,37.3,nasal discharge,swelling in neck,salivation,pasteurellosis
goat,6,38.2,anemia,weakness,diarrhea,parasite infestation
cow,8,40.1,fever,depression,diarrhea,enterotoxemia
cow,9,38.6,nasal discharge,coughing,high fever,pasteurellosis
cow,4,103.7,swelling in muscle,loss of appetite,difficulty walking,blackleg
sheep,4,103.1,depression,loss of appetite,painless lumps,lumpy skin disease
sheep,8,37.9,salivation,depression,high fever,pasteurellosis
cow,14,100.5,blisters on gums,lameness,loss of appetite,foot and mouth
buffalo,14,102.6,difficult breathing,depression,loss of appetite,pneumonia
sheep,5,102.1,lameness,loss of appetite,blisters on mouth,foot and mouth
goat,10,101.4,nasal discharge,loss of appetite,depression,pneumonia
cow,3,38.5,weakness,depression,nasal discharge,pasteurellosis
sheep,8,37.2,depression,high fever,nasal discharge,pasteurellosis
goat,8,41.1,difficulty breathing,nasal discharge,salivation,pasteurellosis
goat,4,103.8,loss of appetite,blisters on mouth,difficulty walking,foot and mouth
goat,6,101.0,loss of appetite,depression,painless lumps,lumpy skin disease
goat,8,100.1,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
cow,10,101.1,crackling sound,swelling in limb,depression,blackleg
buffalo,5,101.2,painless lumps,loss of appetite,depression,lumpy skin disease
cow,3,104.1,difficult breathing,loss of appetite,depression,pneumonia
goat,2,101.3,depression,loss of appetite,painless lumps,lumpy skin disease
cow,8,103.1,loss of appetite,painless lumps,depression,lumpy skin disease
goat,5,104.4,loss of appetite,depression,painless lumps,lumpy skin disease
cow,6,38.5,loss of appetite,lameness,reduced milk yield,foot and mouth disease
buffalo,1,102.2,loss of appetite,painless lumps,depression,lumpy skin disease
cow,11,103.0,lameness,depression,swelling in limb,blackleg
buffalo,15,103.6,depression,painless lumps,loss of appetite,lumpy skin disease
cow,5,100.8,loss of appetite,depression,nasal discharge,pneumonia
sheep,4,38.9,loss of appetite,reduced milk production,fatigue,pneumonia
goat,8,101.1,depression,loss of appetite,swelling in muscle,blackleg
sheep,8,38.6,weight loss,reduced milk yield,swollen joints,brucellosis
sheep,7,41.5,salivation,loss of appetite,fatigue,pasteurellosis
goat,10,100.1,blisters on gums,difficulty walking,loss of appetite,foot and mouth
cow,6,103.6,depression,painless lumps,loss of appetite,lumpy skin disease
buffalo,2,101.6,loss of appetite,depression,painless lumps,lumpy skin disease
buffalo,11,100.8,nasal discharge,loss of appetite,depression,pneumonia
sheep,7,102.9,sores on mouth,loss of appetite,lameness,foot and mouth
cow,3,103.0,lameness,blisters on gums,loss of appetite,foot and mouth
buffalo,13,103.3,depression,loss of appetite,painless lumps,lumpy skin disease
sheep,8,100.4,loss of appetite,blisters on mouth,difficulty walking,foot and mouth
cow,2,40.1,nasal discharge,difficulty breathing,weakness,pasteurellosis
sheep,7,40.9,weakness,fatigue,coughing,pasteurellosis
cow,8,102.0,depression,loss of appetite,painless lumps,lumpy skin disease
buffalo,2,102.5,loss of appetite,coughing,depression,pneumonia
sheep,5,102.9,loss of appetite,lameness,sores on tongue,foot and mouth
buffalo,12,103.0,crackling sound,swelling in muscle,difficulty walking,blackleg
goat,4,102.5,sores on tongue,loss of appetite,lameness,foot and mouth
cow,15,102.8,sores on mouth,loss of appetite,difficulty walking,foot and mouth
sheep,6,39.1,salivation,sores on hooves,lameness,foot and mouth disease
cow,2,37.2,swelling in neck,weakness,depression,pasteurellosis
buffalo,1,104.1,swelling in muscle,depression,difficulty walking,blackleg
buffalo,7,37.4,swelling in neck,depression,fatigue,pasteurellosis
buffalo,11,103.8,difficulty walking,crackling sound,loss of appetite,blackleg
cow,6,103.4,lameness,loss of appetite,sores on hooves,foot and mouth
goat,9,100.3,depression,loss of appetite,painless lumps,lumpy skin disease
sheep,1,102.4,blisters on gums,loss of appetite,lameness,foot and mouth
sheep,5,104.3,loss of appetite,depression,coughing,pneumonia
buffalo,8,103.5,lameness,loss of appetite,sores on gums,foot and mouth
buffalo,1,102.4,swelling in muscle,loss of appetite,difficulty walking,blackleg
buffalo,9,100.7,loss of appetite,depression,crackling sound,blackleg
goat,7,103.2,depression,painless lumps,loss of appetite,lumpy skin disease
buffalo,10,102.1,painless lumps,depression,loss of appetite,lumpy skin disease
goat,8,100.8,difficulty walking,loss of appetite,sores on mouth,foot and mouth
cow,14,100.1,blisters on tongue,loss of appetite,lameness,foot and mouth
goat,10,100.7,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
sheep,4,104.9,depression,loss of appetite,coughing,pneumonia
sheep,8,101.7,loss of appetite,difficulty walking,blisters on tongue,foot and mouth
cow,14,100.1,loss of appetite,depression,painless lumps,lumpy skin disease
sheep,8,101.8,loss of appetite,depression,painless lumps,lumpy skin disease
goat,9,37.2,fatigue,high fever,coughing,pasteurellosis
goat,4,38.5,slow growth,anemia,scratching,parasite infestation
buffalo,4,40.9,fever,bloated abdomen,convulsions,enterotoxemia
sheep,8,100.4,depression,loss of appetite,painless lumps,lumpy skin disease
goat,2,103.3,sores on gums,loss of appetite,difficulty walking,foot and mouth
cow,14,103.2,depression,loss of appetite,nasal discharge,pneumonia
goat,2,104.8,difficulty walking,loss of appetite,sores on tongue,foot and mouth
buffalo,13,101.6,painless lumps,depression,loss of appetite,lumpy skin disease
goat,10,102.5,lameness,swelling in limb,crackling sound,blackleg
buffalo,1,39.3,skin nodules,lameness,watering eyes,lumpy skin disease
cow,9,103.1,nasal discharge,loss of appetite,depression,pneumonia
buffalo,7,103.1,depression,difficult breathing,loss of appetite,pneumonia
cow,7,38.6,swelling in neck,depression,salivation,pasteurellosis
buffalo,8,38.5,fever,swollen joints,abortion,brucellosis
buffalo,9,102.1,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
cow,9,37.3,weakness,swelling in neck,loss of appetite,pasteurellosis
goat,10,102.6,swelling in limb,crackling sound,depression,blackleg
cow,8,39.1,nasal discharge,depression,fatigue,pasteurellosis
sheep,9,100.8,difficulty walking,crackling sound,depression,blackleg
buffalo,9,102.2,loss of appetite,nasal discharge,depression,pneumonia
cow,9,104.1,coughing,depression,loss of appetite,pneumonia
sheep,4,105.0,loss of appetite,painless lumps,depression,lumpy skin disease
cow,5,100.9,loss of appetite,depression,coughing,pneumonia
buffalo,6,103.4,depression,crackling sound,lameness,blackleg
cow,9,103.0,difficulty walking,sores on hooves,loss of appetite,foot and mouth
goat,1,101.1,lameness,loss of appetite,blisters on mouth,foot and mouth
sheep,6,101.6,loss of appetite,sores on tongue,difficulty walking,foot and mouth
goat,5,101.6,lameness,depression,crackling sound,blackleg
buffalo,11,100.5,sores on gums,difficulty walking,loss of appetite,foot and mouth
sheep,5,103.9,loss of appetite,sores on tongue,difficulty walking,foot and mouth
cow,9,104.8,crackling sound,loss of appetite,difficulty walking,blackleg
sheep,3,102.1,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
goat,5,38.5,infertility,lameness,abortion,brucellosis
buffalo,6,101.0,difficulty walking,crackling sound,depression,blackleg
